1,Speaker 1,"This is I've done this and I'm ready to face it, but I would.",0.000,39.000
2,Speaker 2,"Sorry about that.",39.000,40.000
3,Speaker 1,"That's OK.",40.000,41.000
4,Speaker 2,"Too many people moving and shake here and there and you can't really keep track of who's doing what.",41.000,46.000
5,Speaker 2,"So. So yeah, like I said.00:00:50 Speaker 2 I'm just going to go through for everything in this room is audio and video recorded. First off, be OK with that. OK, so I just want to go through, like I said, a couple of formalities, cover a few little things off.",46.000,54.000
6,Speaker 1,"Right. Oh yes.",54.000,60.000
7,Speaker 2,"Things that I have to do on my end that I need to do and things that I just want to tell you and make sure that we're all on the same page before we before we get going. OK. So First off today is Wednesday, October the 5th, 2016. And on my phone right now, I'll just use that as a a time reference. It's 5/14.",60.000,69.000
8,Speaker 1,"OK.",69.000,80.000
9,Speaker 2,"So 1714, we'll just use that as a start time of our conversation here today. Again, my name is Nathan Hergott with the Woodstock police service. I currently work in.",80.000,88.000
10,Speaker 2,"Our crime unit?",88.000,89.000
11,Speaker 2,"OK. And we met a short time ago in downtown Toronto. Correct? Right. Yeah. So.",89.000,95.000
12,Speaker 2,"We came to a facility where you've spent the last few weeks. From what I understand, and we met with Doctor Khan and his team of officiates and I believe you're under his care for the.",95.000,100.000
13,Speaker 1,"Yeah.",100.000,104.000
14,Speaker 1,"Yes.",104.000,107.000
15,Speaker 2,"Last little while, correct.",107.000,109.000
17,Speaker 2,"And.",110.000,112.000
18,Speaker 2,"The process how we got here basically is kind of offered you a ride back and and so we could have this conversation and and you gracefully accepted and.",112.000,123.000
19,Speaker 2,"Off we went down the 401 or the the gardener view and we and and and here we are. Right. So just to make it clear for whoever may watch us in the future, we didn't force you to come with us. We didn't, you know, show you in the car and off we went kind of thing. You did it on your own.",123.000,126.000
20,Speaker 1,"Yeah.",126.000,127.000
21,Speaker 1,"The Four 3 is.",127.000,139.000
22,Speaker 2,"Free will and you accepted it on your own.",139.000,142.000
23,Speaker 2,"On your own decision making, is that correct?",142.000,144.000
24,Speaker 1,"Yep, I had a nap and even let me try to give money to.",144.000,147.000
25,Speaker 1,"The homeless people.",147.000,148.000
26,Speaker 2,"There you go. I remember all of that. I remember all of that. So I know I read you a few things before.",148.000,155.000
27,Speaker 2,"As we were kind of just cruising down Spadina there and I know you've been read this many times, but it's just things that we need to just reiterate and make sure that you're clear and full with with having this conversation today. OK, like I said, based on our investigation, there could be some some pretty serious criminal charges that result.",155.000,164.000
28,Speaker 1,"Yeah.",164.000,175.000
29,Speaker 1,"Yeah.",175.000,175.000
30,Speaker 2,"Of our investigation, OK. So having said that, if if you wish to speak to a lawyer at anytime.",175.000,177.000
31,Speaker 1,"Yes.",177.000,182.000
32,Speaker 1,"OK.",182.000,183.000
33,Speaker 2,"I don't want you to hesitate.",183.000,185.000
34,Speaker 2,"We can make it happen whenever you're like. So whether it's now 5 minutes from now, an hour from now, or three days from now, whatever.",185.000,192.000
35,Speaker 2,"The case may be you didn't let.",192.000,193.000
36,Speaker 1,"We're not going to be asking questions which retains our listening.",193.000,195.000
37,Speaker 2,"I hope not, I hope.",195.000,197.000
38,Speaker 2,"I'm the dude. I'm just saying that anytime that you want to speak to a lawyer that you're kind of in our company or whatever the case may be, you let us know and we can make that accommodation period. Does that make sense? OK, because you in your position as a Canadian citizen, you're you're entitled to have free legal advice.",197.000,208.000
40,Speaker 2,"Among the lead.",215.000,217.000
41,Speaker 2,"Juice Council lawyer, the lawyer for Christ, whoever you like.",217.000,220.000
42,Speaker 1,"OK, makes sense, yes.",220.000,223.000
43,Speaker 2,"And like I said, because there could.",223.000,225.000
44,Speaker 2,"Be.",225.000,226.000
45,Speaker 2,"Some criminal charges that the results of our next generation also and I know you've been read this many times before, that you may be charged with many criminal offenses and and you don't have to say anything answer.",226.000,241.000
46,Speaker 2,"To the charges that you paid.",241.000,243.000
47,Speaker 2,"But if you wish to do so, we're going to do that today. But whatever you do say could be used in court, and I know we had that conversation in the car on the way on the way back to Woodstock. And I asked you to repeat it in your own words and you kind of gave us a few.",243.000,260.000
